L	b2	b4	b8	b16	b32	u2	u4	u8	u16	u32
132.0	2445.20208931675	3279.9105128959613	4037.536539288745	4646.840924162626	5063.487508865524	2707.6944309002756	3640.6428313061256	4369.066647768805	5041.2307692307695	5461.333333333333
133.0	2443.2961205797237	3277.7399642617665	4035.764276329183	4645.221997018518	5062.347843997677	2707.5211384566983	3640.640967296996	4369.066647625639	5041.2307692307695	5461.333333333333
134.0	2441.3931671276423	3275.575363526137	4033.9979720788633	4643.611276587025	5061.214141921074	2707.347857103837	3640.6391032888214	4369.066647482473	5041.2307692307695	5461.333333333333
135.0	2439.493223961241	3273.416692317881	4032.2376020653796	4642.008705398522	5060.0863575386375	2707.1745868409826	3640.6372392816006	4369.066647339308	5041.2307692307695	5461.333333333333
136.0	2437.5962860895597	3271.263932323261	4030.4831419205507	4640.414226424167	5058.96444614117	2707.001327667425	3640.635375275334	4369.066647196142	5041.2307692307695	5461.333333333333
137.0	2435.7023485299314	3269.1170652858204	4028.734567379974	4638.827783072412	5057.848363403848	2706.8280795824544	3640.633511270022	4369.066647052977	5041.2307692307695	5461.333333333333
138.0	2433.811406307966	3266.9760730061994	4026.9918542825876	4637.249319185564	5056.7380653827495	2706.654842585361	3640.6316472656645	4369.0666469098105	5041.2307692307695	5461.333333333333
139.0	2431.923454457538	3264.8409373419586	4025.2549785702163	4635.678779036369	5055.633508511399	2706.481616675436	3640.6297832622613	4369.066646766645	5041.2307692307695	5461.333333333333
140.0	2430.038488020773	3262.7116402073984	4023.5239162871385	4634.116107324612	5054.534649597364	2706.308401851969	3640.6279192598126	4369.06664662348	5041.2307692307695	5461.333333333333
141.0	2428.1565020480316	3260.5881635733854	4021.798643579644	4632.561249173763	5053.441445818871	2706.13519811425	3640.626055258318	4369.0666464803135	5041.2307692307695	5461.333333333333
142.0	2426.2774915979003	3258.470489467172	4020.0791366955955	4631.014150127636	5052.3538547214575	2705.962005461571	3640.624191257778	4369.066646337148	5041.2307692307695	5461.333333333333
143.0	2424.401451737172	3256.3585999722177	4018.365371983998	4629.47475614707	5051.271834214648	2705.7888238932214	3640.6223272581924	4369.066646193983	5041.2307692307695	5461.333333333333
144.0	2422.528377540837	3254.252477228021	4016.6573258945573	4627.943013606661	5050.195342568672	2705.6156534084926	3640.6204632595604	4369.066646050817	5041.2307692307695	5461.333333333333
145.0	2420.658264092068	3252.1521034299335	4014.9549749772555	4626.418869291489	5049.124338411197	2705.4424940066747	3640.6185992618834	4369.066645907651	5041.2307692307695	5461.333333333333
146.0	2418.7911064822056	3250.0574608289958	4013.2582958819166	4624.902270393885	5048.058780724114	2705.2693456870584	3640.616735265161	4369.066645764486	5041.2307692307695	5461.333333333333
147.0	2416.926899810745	3247.968531731753	4011.5672653577803	4623.393164510239	5046.998628840327	2705.0962084489342	3640.6148712693926	4369.06664562132	5041.2307692307695	5461.333333333333
148.0	2415.065639185325	3245.8852985000876	4009.8818602530755	4621.891499637801	5045.943842440589	2704.923082291594	3640.6130072745786	4369.066645478155	5041.2307692307695	5461.333333333333
149.0	2413.2073197217087	3243.807743551044	4008.202057514595	4620.397224171534	5044.894381550364	2704.749967214327	3640.6111432807193	4369.066645334989	5041.2307692307695	5461.333333333333
150.0	2411.351936543778	3241.7358493566553	4006.5278341872745	4618.910286900982	5043.850206536716	2704.576863216426	3640.609279287814	4369.066645191823	5041.2307692307695	5461.333333333333
151.0	2409.499484783512	3239.669598443772	4004.8591674137692	4617.430637007163	5042.81127810522	2704.40377029718	3640.607415295863	4369.066645048658	5041.2307692307695	5461.333333333333
152.0	2407.649959580979	3237.6089733938907	4003.196034434039	4615.958224059484	5041.777557296922	2704.230688455881	3640.605551304867	4369.0666449054925	5041.2307692307695	5461.333333333333
153.0	2405.803356084322	3235.5539568429804	4001.5384125849273	4614.492998012688	5040.749005485306	2704.05761769182	3640.6036873148246	4369.066644762326	5041.2307692307695	5461.333333333333
154.0	2403.9596694497427	3233.5045314813165	3999.886279299746	4613.034909203822	5039.725584373294	2703.884558004288	3640.601823325737	4369.066644619161	5041.2307692307695	5461.333333333333
155.0	2402.1188948414915	3231.4606800533047	3998.2396121078655	4611.583908349222	5038.70725599028	2703.711509392576	3640.5999593376037	4369.066644475995	5041.2307692307695	5461.333333333333
156.0	2400.281027431852	3229.4223853573176	3996.5983886342974	4610.139946541535	5037.693982689189	2703.538471855975	3640.5980953504245	4369.066644332829	5041.2307692307695	5461.333333333333
157.0	2398.4460624011294	3227.389630245521	3994.9625865992903	4608.702975246751	5036.685727143562	2703.365445393776	3640.5962313642	4369.066644189664	5041.2307692307695	5461.333333333333
158.0	2396.613994937634	3225.3623976237086	3993.3321838179168	4607.272946301271	5035.682452344662	2703.192430005271	3640.5943673789297	4369.066644046498	5041.2307692307695	5461.333333333333
159.0	2394.7848202376717	3223.340670451132	3991.707158199669	4605.849811908991	5034.684121598618	2703.0194256897507	3640.5925033946137	4369.066643903333	5041.2307692307695	5461.333333333333
160.0	2392.958533505529	3221.324431740334	3990.0874877480533	4604.433524638408	5033.690698523587	2702.846432446507	3640.590639411252	4369.066643760167	5041.2307692307695	5461.333333333333
161.0	2391.135129953459	3219.313664556983	3988.473150560188	4603.024037419757	5032.70214704695	2702.6734502748304	3640.588775428845	4369.066643617001	5041.2307692307695	5461.333333333333
162.0	2389.3146048016692	3217.3083520197033	3986.8641248264	4601.621303542158	5031.718431402517	2702.500479174013	3640.586911447392	4369.066643473836	5041.2307692307695	5461.333333333333
163.0	2387.496953278308	3215.3084772999123	3985.2603888298286	4600.2252766508	5030.739516127783	2702.327519143346	3640.5850474668937	4369.066643330671	5041.2307692307695	5461.333333333333
164.0	2385.6821706194514	3213.314023621655	3983.661920946024	4598.835910744138	5029.765366061187	2702.154570182121	3640.5831834873497	4369.066643187504	5041.2307692307695	5461.333333333333
165.0	2383.8702520690904	3211.3249742614385	3982.0686996425516	4597.453160171113	5028.795946339408	2701.9816322896295	3640.58131950876	4369.066643044339	5041.2307692307695	5461.333333333333
166.0	2382.0611928791172	3209.341312548066	3980.480703478602	4596.076979628395	5027.831222394683	2701.808705465163	3640.579455531124	4369.0666429011735	5041.2307692307695	5461.333333333333
167.0	2380.2549883093116	3207.363021862476	3978.8979111045933	4594.707324157658	5026.87115995215	2701.6357897080134	3640.577591554443	4369.066642758008	5041.2307692307695	5461.333333333333
168.0	2378.4516336273286	3205.390085637577	3977.320301261778	4593.34414914285	5025.915725027211	2701.462885017472	3640.5757275787164	4369.066642614842	5041.2307692307695	5461.333333333333
169.0	2376.6511241086864	3203.422487358086	3975.747852781862	4591.987410307521	5024.964883922928	2701.289991392831	3640.573863603944	4369.0666424716765	5041.2307692307695	5461.333333333333
