L	b2	b3	b4	u2	u3	u4
610.0	2.823485486985149e-8	16.10926596084894	724.3607420217835	1.2555733751540814e-7	61.025304861466054	3084.45948466621
611.0	2.706989137546553e-8	15.974255976580814	723.1276114875037	1.205350440147918e-7	60.53710242257433	3079.524349490744
612.0	2.595299400181962e-8	15.840377496125233	721.8965802455243	1.1571364225420012e-7	60.052805603193725	3074.5971105315584
613.0	2.488217955203752e-8	15.70762103647334	720.6676447206855	1.1108509656403212e-7	59.57238315836818	3069.677755154708
614.0	2.385554665548129e-8	15.575977194092316	719.4408013439528	1.0664169270147083e-7	59.095804093101236	3064.76627074646
615.0	2.2871272391619884e-8	15.445436644259322	718.2160465524049	1.0237602499341199e-7	58.623037660356424	3059.8626447132656
616.0	2.1927609053196118e-8	15.315990140400997	716.9933767892227	9.828098399367551e-8	58.15405335907357	3054.9668644817243
617.0	2.1022881042944624e-8	15.187628513438488	715.7727885036776	9.434974463392848e-8	57.688820932200976	3050.0789174985534
618.0	2.0155481898350477e-8	15.060342671137983	714.5542781511199	9.057575484857134e-8	57.227310364743374	3045.198791230556
619.0	1.932387143916561e-8	14.934123597466682	713.3378421929682	8.695272465462848e-8	56.769491881825424	3040.326473164587
620.0	1.852657303261801e-8	14.808962351954165	712.1234770966975	8.347461566844333e-8	56.31533594677082	3035.4619508075234
621.0	1.7762170971457748e-8	14.684850069059104	710.911179335828	8.013563104170561e-8	55.86481325919666	3030.605211686231
622.0	1.7029307960184226e-8	14.561777957541308	709.7009453899148	7.693020580003738e-8	55.417894753123086	3025.7562433475327
623.0	1.6326682704991083e-8	14.439737299838983	708.4927717445354	7.385299756803588e-8	54.9745515950981	3020.9150333581765
624.0	1.5653047603149414e-8	14.318719451451285	707.2866548912797	7.089887766531444e-8	54.534755182337314	3016.0815693048035
625.0	1.5007206527726506e-8	14.198715840325958	706.0825913277383	6.806292255870186e-8	54.09847714087861	3011.2558387939157
626.0	1.4388012703706544e-8	14.079717966252183	704.8805775574924	6.534040565635379e-8	53.665689323751586	3006.437829451845
627.0	1.3794366671742093e-8	13.961717400258474	703.6806100901013	6.272678943009963e-8	53.23636380916158	3001.6275289247224
628.0	1.3225214335920705e-8	13.844705784015618	702.4826854410929	6.021771785289564e-8	52.81047289868828	2996.8249248784423
629.0	1.2679545092080231e-8	13.728674829244648	701.2868001319524	5.7809009138779815e-8	52.38798911549876	2992.0300049986367
